q75_years_obs
0.0
0.0
3.0
1.0
0.0
1.0
0.0
1.0
0.0
0.0
0.25
3.0
0.0
3.25
1.0
0.0
0.0
2.0
0.0
0.0
0.0
1.0
5.0
0.0
2.0
3.0
1.0
1.0
0.0
2.25
1.0
2.0
5.0
0.0
10.25
1.0
3.25
7.0
4.0
3.0
