q75_years_85
0.0
0.0
0.0
0.0
1.0
2.0
1.0
2.0
1.0
1.0
1.0
1.0
1.0
0.0
1.0
2.0
1.0
2.0
2.0
2.0
1.0
2.0
1.0
1.0
2.0
1.0
1.0
3.0
3.0
4.0
1.0
1.0
2.0
6.0
8.0
2.0
3.0
6.0
3.0
4.0
4.0
2.0
6.0
5.0
6.0
4.0
6.0
1.0
5.0
8.0
4.0
7.0
4.0
6.0
7.0
5.0
3.0
4.0
10.0
11.0
8.0
10.0
10.0
8.0
8.0
6.0
8.0
10.0
15.0
13.0
11.0
10.0
12.0
11.0
16.0
14.0
13.0
18.0
13.0
15.0
14.0
13.0
18.0
14.0
16.0
14.0
14.0
21.0
18.0
24.0
23.0
20.0
21.0
22.0
22.0
30.0
25.0
15.0
31.0
23.0
22.0
31.0
35.0
29.0
34.0
30.0
26.0
31.0
35.0
37.0
44.0
37.0
33.0
42.0
37.0
37.0
33.0
33.0
42.0
