q90_years_obs
0.0
0.0
6.0
3.0
0.0
3.1000000000000085
0.0
2.0
1.1000000000000085
1.0
2.0
10.0
0.0
8.100000000000009
2.1000000000000085
0.0
0.0
4.0
0.0
0.0
1.0
3.0
10.100000000000009
2.1000000000000085
5.0
11.0
1.0
2.0
1.0
4.0
5.0
4.0
7.0
1.0
14.0
3.0
7.0
9.0
6.0
5.1000000000000085
