q90_years_85
3.0
4.0
3.0
2.0
6.0
6.0
5.0
5.0
5.0
4.0
5.0
5.0
4.0
4.0
4.0
5.0
3.0
7.0
6.0
9.0
5.0
7.0
3.0
6.100000000000364
7.0
4.0
6.0
9.0
8.0
8.0
4.0
6.0
6.0
11.0
16.0
6.0
9.0
15.0
9.0
11.0
8.0
8.0
13.0
13.0
13.0
10.0
11.0
5.0
10.0
17.0
10.0
14.0
10.0
14.0
14.0
11.100000000000364
7.0
11.0
18.0
19.0
20.0
20.0
18.0
17.0
15.0
13.0
16.0
21.0
26.0
24.0
20.0
20.0
24.0
24.0
27.0
22.0
25.0
35.0
24.0
26.0
24.0
24.0
30.0
24.0
25.0
23.0
25.0
36.0
30.0
38.0
38.0
32.0
34.0
37.0
34.0
44.0
51.0
25.0
42.0
39.0
37.0
45.0
52.0
45.0
49.0
45.0
38.0
54.0
56.0
50.0
67.0
53.0
46.0
57.0
49.0
49.0
52.0
47.0
58.0
